branch	before_rewrite	after_email_rewrite	after_sha_reference_update	updated_files	replacements
docs/auth-email-deployment-evidence	37c2a081daa33eac9673916fd75727727d741e72	436194dcf8b74ac268286183b2410849d893feb4	00ac14d6100cc65cbb4889100eb6ca68394bda2f	4	5
docs/auth-email-final-verification	542499fba8102d929207bb0d2b695ce82f8886ad	473252ebcd4f258eb3c976ff76868ed38d6d9bc0	87fbb34e55d237f9c8296b5b377555e724b9f602	6	7
docs/authenticated-writes-final-evidence	0087ecd2d6785fcb17f308db0544765e3b2bb511	45e7ea4aa81021a123752cfc8fbe82e10ef2cec5	b94e92f399c8e0f133b162b1a014838d8df5f440	7	9
docs/deployment-evidence	07699cc74cd0e92d5caabc1141274c5b3db7b865	8e0981b26280875be45541fd078d3b19d32634cd	92ab801576e6d22e5a13c8aba0d9b940a509d021	3	4
docs/final-learning-record	99b9f2c345d20328efe761199caf5c99039e4332	005835e6b1bf502b21b8f5399839bb086c979380	8c85a43be77beca69d65c8463a14501bb3ca18cf	2	2
docs/learning-guide	6255a9f92c6c611d91b2ddcd841ffd3e2c155f03	d0b28f5af8a96e16a925167866cd07164a8a083c	201efe733205f72006194427666b89b806e108bf	1	1
docs/readme-and-reasoning	f84ed944f37cc2c0a9ca4acf3b7780493b3fc4b9	62a3b75907bede21a53de14c6f4a7799550b81ee	62a3b75907bede21a53de14c6f4a7799550b81ee	0	0
eval	2d0bbbb0a86d0e37352eac782f37a21a06a016aa	6be4cdfc2e73680a243d16fe56c4e4ed034d857e	85e0be504f16a089a994f308459712d1cc835763	6	7
feature/auth-global-state	5cd234ec2b6c473b69742f110e4cac9d0f8391b8	f8b6851c9d4feebe6a1f5cbd3d673d16945f35ad	ca97e3e7f8ea6aed2cabcdc57ef9af4ee64075af	2	2
feature/authenticated-item-writes	2751618b30100fe1c034baa2856f02b6fad83926	339950877c65898aeee525f8a57957f51085d288	d276ff8691425c58a56e70be570c785f8a9ccc73	4	5
feature/backend-and-hooks	159aae9a1c1fb7cd9ed0ce1af302b2c3b2b5f5e2	fb4881f448b3d3e160ae6321da97e3820a218aad	fb4881f448b3d3e160ae6321da97e3820a218aad	0	0
feature/components	159aae9a1c1fb7cd9ed0ce1af302b2c3b2b5f5e2	fb4881f448b3d3e160ae6321da97e3820a218aad	fb4881f448b3d3e160ae6321da97e3820a218aad	0	0
feature/pages	159aae9a1c1fb7cd9ed0ce1af302b2c3b2b5f5e2	fb4881f448b3d3e160ae6321da97e3820a218aad	fb4881f448b3d3e160ae6321da97e3820a218aad	0	0
feature/performance-filter	cc5d05ea9b7d87d7e96e6589f10dd9c14d435626	210dee324253873b33559049d9c85ed1c932f8b0	d4862829409b9af1ccaab4a5e86efd6e959cd925	2	2
fix/accessibility	fc3bc7a94879ce668828855cb688821679051815	3607c3c281819a353374e2e9b3e1b180ccbec42e	db540a871e3db217125c1c0100d267f32202e96b	2	2
fix/auth-email-redirect	63f2e27dfce619e863bdef78323ecdeeb5158a5d	f5d3d101e89ad64ec28fcb91ccb6af2365adcf91	f5ebc31db7371552c9a125eb19210fff75e17543	3	4
fix/crud-ux	d7672fe44d1dd08fdbc25c8e935dda54f33d540b	a30067861f039c152eef2f6e36fb4a645578c7a8	bd77a0328e722bc9f39150bb3febc1cd21c256f3	2	2
fix/duplicate-registration-action	2b79397e5dcc5bf5348d0eb6614272bdd7d27cf5	552cd6275c9087d27b016e95bb19f806fc2c37ad	7289182ee086c0118f04507e9b0cb06f25c73c70	3	4
fix/preview-host	2e8a61da3a63748a03fe832d1fe78bff6b236c07	0059e689d724cd127e19d6a3bb190c877b2420c4	dd48aaf4d966a9e759daafa6c5eb083f6c36aaf7	2	2
fix/remote-data-source	91110887f96b8567b4be4ddf25dd988ec7da3d36	8f60fe387f8958d020f4a9df963cd28a5003bfa7	d2da12722e8f212810543b3a7dc94f0551cd3913	2	2
fix/rls-safe-apply	580ea74d3649145a0d855c7cf649c740897d8eb6	2151649f5b78fb5768ad4e526d18415c3747ad54	aa71065fa7f44c175d09b9a41d831fbda4f5ef55	6	7
fix/security-maintenance	c633528029166ecf42613da54f4db901108477b5	6bbcdcfd727b73a3a0cf56ff363f644cc10b9d42	d2db28e68fcca21324a74ca85042077aa57b4979	2	2
fix/test-runner-isolation	51221bb9728bca9fc2551731c36412e967ccc814	558ab9089de7ef6f8942dc7b5e66d8e182d82426	db8401a296f640442b1932302f1ad26a8654b7a9	2	2
gh-pages	2471298cb41617fa1022e078739a31329d69ee0c	7c373e0150a95e041c179fe8818ec29b2524e6dd	7c373e0150a95e041c179fe8818ec29b2524e6dd	0	0
learning	543095e9ce0483db39d46d4c0a105645ab005f3a	b1bded41b2c83f055fd7d9cb79ce2ad3e201e4d7	437f0492ce7496d450d159e80e7a46ebcb93be07	5	6
